State,Started on,Completed,Time taken,Grade/16.00,Q. 1 /1.00,Q. 2 /1.00,Q. 3 /1.00,Q. 4 /1.00,Q. 5 /1.00,Q. 6 /1.00,Q. 7 /1.00,Q. 8 /1.00,Q. 9 /1.00,Q. 10 /1.00,Q. 11 /1.00,Q. 12 /1.00,Q. 13 /1.00,Q. 14 /1.00,Q. 15 /1.00,Q. 16 /1.00
Finished,11/11/2021 20:47,11/11/2021 21:25,37 mins 33 secs,15,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Finished,11/11/2021 20:49,11/11/2021 21:25,35 mins 42 secs,14.67,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.67
Finished,11/11/2021 20:57,11/11/2021 21:12,15 mins 14 secs,9.42,0.5,1,0,1,0.75,1,0,0,1,0,0.5,0.17,1,1,0.5,1
Finished,11/11/2021 20:58,11/11/2021 21:16,17 mins 26 secs,12.33,0.75,1,1,1,0.75,0,0,1,1,1,0.17,0.67,1,1,1,1
Finished,11/11/2021 21:05,11/11/2021 21:26,20 mins 57 secs,15,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Finished,11/11/2021 21:25,11/11/2021 21:47,21 mins 51 secs,8.67,0.75,0,1,1,0.75,1,0,0,1,0,0.17,1,0,1,0,1
Finished,11/11/2021 21:30,11/11/2021 21:42,12 mins 43 secs,13.17,0.67,1,1,1,1,1,1,0,1,1,0.5,1,1,1,1,0
Finished,11/11/2021 21:38,11/11/2021 21:52,13 mins 53 secs,7.17,1,1,0,1,1,0,0,0,0,0,0.67,0.33,1,1,0,0.17
Finished,11/11/2021 22:02,11/11/2021 22:18,15 mins 17 secs,13.58,0.75,1,1,1,1,1,1,1,0,1,0.17,1,1,1,1,0.67
Finished,11/11/2021 22:15,11/11/2021 22:31,15 mins 58 secs,12.42,0.75,0,1,1,1,0,1,1,1,1,0.17,1,1,1,0.5,1
Finished,11/11/2021 22:32,11/11/2021 22:54,21 mins 38 secs,14.5,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1
,,,,11.4574,0.8636,0.56,0.78,0.74,0.87,0.68,0.6,0.5,0.72,0.6,0.641,0.6212,0.84,0.84,0.74,0.8638
